RecordID,MGMT_LEVEL,Tenure..days.,File,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,Score_P,Score_T,Flag
9880,0,1194,C,0.912419761,0.912927181,0.915966921,0.925804036,0.923816528,0.924407617,0.28,0.72,All good
9881,0,1194,C,0.929366712,0.928862535,0.933957803,0.935062829,0.941009129,0.935389559,0.48,0.52,All good
9882,0,1194,C,0.918933675,0.923823944,0.906811676,0.917390047,0.915421745,0.932825471,0.44,0.56,All good
9884,0,1218,C,0.92881774,0.929005493,0.927560593,0.936597716,0.937881305,0.940345175,0.76,0.24,All good
9885,0,1208,C,0.908813227,0.913300535,0.914096356,0.927223217,0.925419563,0.919703635,0.32,0.68,All good
9886,0,1208,C,0.939961503,0.939668641,0.925287077,0.935598815,0.932689359,0.939646133,0.84,0.16,All good
9887,0,1218,C,0.925775586,0.928659398,0.936019677,0.943178582,0.944263387,0.946173404,0.58,0.42,All good
9888,0,1212,C,0.932646348,0.932434519,0.919564585,0.927342455,0.925860916,0.936667847,0.64,0.36,All good
9890,0,1201,C,0.939010055,0.937045639,0.935670263,0.943789055,0.942873967,0.92679525,0.64,0.36,All good
9891,1,1215,C,0.909136615,0.907129648,0.892091257,0.906142373,0.909146803,0.898997205,0.26,0.74,All good
9893,0,1215,C,0.92200607,0.922569548,0.935696697,0.93949268,0.94137007,0.932933847,0.54,0.46,All good
9894,0,1215,C,0.908827376,0.912976134,0.923851531,0.927943171,0.933210392,0.938676595,0.76,0.24,All good
9895,0,1215,C,0.938259827,0.939048968,0.936461784,0.942975891,0.941630736,0.942980438,0.88,0.12,All good
9896,0,1194,C,0.940381348,0.940274245,0.943402906,0.946822133,0.94720844,0.947652009,0.96,0.04,P
9897,0,1208,C,0.934103812,0.935048716,0.930847637,0.941429036,0.941688292,0.938075072,0.76,0.24,All good
9898,0,1208,C,0.933746897,0.934969515,0.938750321,0.944644346,0.946964985,0.917968302,0.72,0.28,All good
9899,0,1208,C,0.937900891,0.935719515,0.937324431,0.946032692,0.945465625,0.949582413,0.58,0.42,All good
9900,0,1208,C,0.929792089,0.928080093,0.928284743,0.937345221,0.933775319,0.926476391,0.54,0.46,All good
9901,0,1208,C,0.937461368,0.937053182,0.934364207,0.947564735,0.946099222,0.938067496,0.72,0.28,All good
9902,0,1208,C,0.935631116,0.940730901,0.902666942,0.906795379,0.903193147,0.928543876,0.46,0.54,All good
9903,0,1194,C,0.928029712,0.928486642,0.92777856,0.933550669,0.937427298,0.925009984,0.56,0.44,All good
9905,0,1194,C,0.934947462,0.935029853,0.939431899,0.945327548,0.947506506,0.946409436,0.62,0.38,All good
9906,0,1208,C,0.908881252,0.911186107,0.924539385,0.931483054,0.934493004,0.931035623,0.66,0.34,All good
9907,0,1194,C,0.942732427,0.939522798,0.940582925,0.949503198,0.948410044,0.94769049,0.82,0.18,All good
9908,0,1194,C,0.931982517,0.929607741,0.926862676,0.941559766,0.938363812,0.941736822,0.68,0.32,All good
9909,0,1194,C,0.937645905,0.93678405,0.939349822,0.946057474,0.942970642,0.944693415,0.62,0.38,All good
9910,1,1194,C,0.896044026,0.894869482,0.896447343,0.904648218,0.906576614,0.900930899,0.14,0.86,All good
9912,0,1194,C,0.93655184,0.936522232,0.93068437,0.938448692,0.938968505,0.948701429,0.64,0.36,All good
9914,0,1180,C,0.934930292,0.937449806,0.933470012,0.945985404,0.943073118,0.935784729,0.8,0.2,All good
9916,0,1187,C,0.927501079,0.929670953,0.932200471,0.939300636,0.940924021,0.932901196,0.56,0.44,All good
9917,0,1166,C,0.934449113,0.935350507,0.93739275,0.946008343,0.946531025,0.926576344,0.74,0.26,All good
9918,0,1187,C,0.938728665,0.932026696,0.934315614,0.940366646,0.939107243,0.941006863,0.68,0.32,All good
9919,1,1173,C,0.881817263,0.875093036,0.883874377,0.904808475,0.905965859,0.897361121,0.28,0.72,All good
9920,0,1166,C,0.940181364,0.938230276,0.938326103,0.94705052,0.947459976,0.94358766,0.82,0.18,All good
9922,0,1166,C,0.935091621,0.932298377,0.935517907,0.947420251,0.942943285,0.93839903,0.64,0.36,All good
9923,0,1166,C,0.931501771,0.928432594,0.92721152,0.935284823,0.937118049,0.935181833,0.54,0.46,All good
9924,0,1180,C,0.9339026,0.932898812,0.930713557,0.940866171,0.940099637,0.938821245,0.82,0.18,All good
9925,0,1166,C,0.939632761,0.941518154,0.940082272,0.945884947,0.947971447,0.949718573,0.94,0.06,All good
9926,0,1180,C,0.939487928,0.939436346,0.940701416,0.946249515,0.94802878,0.945518222,0.8,0.2,All good
9927,0,1180,C,0.939059536,0.940750988,0.938381084,0.946519647,0.949001311,0.945999347,1,0,P
9928,1,1180,C,0.881606914,0.896049138,0.881982841,0.885259292,0.887816964,0.899148264,0.24,0.76,All good
9930,1,1180,C,0.889639189,0.887228828,0.87449838,0.879500134,0.878764246,0.873037294,0.26,0.74,All good
9931,0,1180,C,0.914629987,0.915936091,0.921303657,0.925960835,0.925942071,0.938917385,0.66,0.34,All good
9932,0,1151,C,0.90960549,0.913856405,0.936584654,0.941852731,0.941710534,0.945376621,0.64,0.36,All good
9933,0,1180,C,0.937910906,0.938895176,0.93892472,0.945232854,0.94402698,0.933964451,0.84,0.16,All good
9934,0,1166,C,0.94143283,0.943808315,0.942706594,0.947109652,0.948637135,0.938816609,0.94,0.06,All good
9935,0,1166,C,0.938783457,0.94051618,0.939267842,0.950544103,0.947558158,0.948594381,1,0,P
9936,0,1166,C,0.930021214,0.930035274,0.921816794,0.927923638,0.931409307,0.931330395,0.54,0.46,All good
9937,1,1166,C,0.905373282,0.901812413,0.905359718,0.908888023,0.907010519,0.910379,0.06,0.94,T
9938,0,1131,C,0.932316433,0.937384613,0.932718498,0.942657541,0.942868111,0.939806272,0.84,0.16,All good
9939,0,1131,C,0.913939383,0.911588862,0.903639485,0.90986331,0.909337033,0.933904774,0.4,0.6,All good
9940,0,1131,C,0.918103528,0.922461011,0.93755517,0.945298739,0.942218689,0.945549387,0.72,0.28,All good
9941,0,1131,C,0.934188137,0.933537672,0.934301099,0.944896924,0.941354212,0.935913941,0.78,0.22,All good
9942,0,1131,C,0.930949637,0.928733973,0.928992391,0.940235381,0.940805185,0.936991197,0.76,0.24,All good
9943,0,1131,C,0.937219341,0.936097102,0.939349425,0.949300514,0.945930237,0.948164401,0.62,0.38,All good
9944,0,1131,C,0.923914888,0.928712223,0.910178752,0.919775165,0.921013016,0.899757522,0.36,0.64,All good
9945,0,1142,C,0.934805346,0.934413424,0.931544635,0.936105541,0.939367882,0.92057666,0.74,0.26,All good
9946,0,1150,C,0.922831191,0.925505337,0.918118553,0.927129744,0.927013516,0.914874276,0.5,0.5,All good
9947,0,1159,C,0.917015193,0.920844889,0.926800509,0.934526566,0.934564848,0.919479491,0.62,0.38,All good
9948,0,1142,C,0.931450233,0.926813175,0.920108467,0.927400249,0.928300594,0.930169631,0.54,0.46,All good
9950,0,1152,C,0.936917809,0.934736779,0.921228387,0.92969179,0.933060644,0.930495096,0.6,0.4,All good
9951,0,1159,C,0.933851699,0.931922517,0.938428907,0.946467807,0.949304298,0.942276874,0.7,0.3,All good
9952,0,1156,C,0.939536819,0.93790851,0.940514279,0.9480977,0.94938342,0.940520655,0.88,0.12,All good
9954,0,1163,C,0.918425099,0.922164144,0.916763452,0.927476833,0.92432227,0.914480657,0.44,0.56,All good
9956,0,1156,C,0.939720639,0.938800578,0.938150821,0.946660513,0.946895943,0.948359625,0.86,0.14,All good
9957,0,1145,C,0.925048458,0.924216955,0.921357989,0.927973533,0.927486621,0.920916835,0.52,0.48,All good
9958,0,1145,C,0.908544158,0.905409999,0.926919588,0.935685897,0.933297161,0.94057176,0.74,0.26,All good
9959,0,589,C,0.92372393,0.929048332,0.917333644,0.926312058,0.928453381,0.928025128,0.22,0.78,All good
9960,0,1159,C,0.942353503,0.938730883,0.939220909,0.947324368,0.946067041,0.942613404,0.82,0.18,All good
9962,0,1131,C,0.941376957,0.94100015,0.936645322,0.938859706,0.938733569,0.942895272,0.94,0.06,All good
9963,0,1145,C,0.930641731,0.928400268,0.930172452,0.938039396,0.940096155,0.934851668,0.7,0.3,All good
9964,0,1023,C,0.930894235,0.932362119,0.922972478,0.933045217,0.931264722,0.919542329,0.7,0.3,All good
9965,0,1131,C,0.938992072,0.94033103,0.940584172,0.949811617,0.947776621,0.948420982,0.98,0.02,P
9966,0,1145,C,0.935606492,0.941285955,0.926294879,0.934750686,0.93625007,0.937535857,0.92,0.08,All good
9967,0,1145,C,0.927579244,0.927061146,0.937364785,0.94677874,0.946013962,0.942716389,0.66,0.34,All good
9968,0,1131,C,0.919661247,0.920752502,0.912009795,0.922876167,0.914664169,0.926037626,0.38,0.62,All good
9969,0,1145,C,0.938891827,0.942988868,0.928156233,0.934266951,0.934995934,0.92187471,0.82,0.18,All good
9970,0,1145,C,0.924715667,0.927664984,0.925756177,0.926980119,0.932573224,0.907242769,0.62,0.38,All good
9971,0,1145,C,0.938206352,0.938385692,0.938022042,0.946109959,0.949358874,0.947279878,0.88,0.12,All good
9972,0,1131,C,0.942247115,0.93975434,0.939335209,0.947661475,0.947927245,0.946047988,0.88,0.12,All good
9973,0,1145,C,0.905153724,0.904741542,0.906638891,0.916805476,0.916560192,0.91599509,0.04,0.96,T
9974,1,1145,C,0.904837088,0.90194424,0.901527407,0.903355589,0.908088235,0.902281985,0.1,0.9,All good
9976,0,1145,C,0.919734916,0.920924412,0.93083451,0.934416867,0.939097144,0.936794038,0.72,0.28,All good
9977,0,1131,C,0.93622162,0.936058376,0.936185616,0.943542171,0.943539355,0.91157166,0.7,0.3,All good
